fecha,tipo_movimiento,bucket,display_name,producto_fuente,producto_sku,cantidad_planchas,detalle,detalle_original,origen
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHA 30 SUPER GRANEL,PLANCHA 30 SUPER GRANEL,24.0,Pedido 7436 · STUPPENDO S.R.L.,Pedido 7436 · STUPPENDO S.R.L.,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,20.0,Pedido 7437 · PASQUALE  MAIONE,Pedido 7437 · PASQUALE  MAIONE,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,3.0,Pedido 7438 · REPARTO,Pedido 7438 · Javier Caniza,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7439 · EZEQUIEL REYES,Pedido 7439 · EZEQUIEL REYES,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7440 · Cesar Gonzalez,Pedido 7440 · Cesar Gonzalez,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,5.0,Pedido 7441 · Ernulfo David Lopez,Pedido 7441 · Ernulfo David Lopez,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7442 · Silvio Vargas Thompson,Pedido 7442 · Silvio Vargas Thompson,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7443 · REPARTO,Pedido 7443 · Alberto Laratro,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,2.0,Pedido 7444 · BELEN PANGRAZIO,Pedido 7444 · BELEN PANGRAZIO,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7445 · DIEGO ESQUIVEL,Pedido 7445 · DIEGO ESQUIVEL,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,2.0,Pedido 7446 · RAUL MEZA,Pedido 7446 · RAUL MEZA,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,3.0,Pedido 7447 · RAUL MEZA,Pedido 7447 · RAUL MEZA,ERP Pedidos
2026-05-11,salida,JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,6.0,Pedido 7448 · REPARTO,Pedido 7448 · REPARTO,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,6.0,Pedido 7448 · REPARTO,Pedido 7448 · REPARTO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,48.5,Pedido 7448 · REPARTO,Pedido 7448 · REPARTO,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,23.0,Pedido 7448 · REPARTO,Pedido 7448 · REPARTO,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,6.0,Pedido 7448 · REPARTO,Pedido 7448 · REPARTO,ERP Pedidos
2026-05-11,salida,PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,PLANCHA 30 HUEVOS PICADO,2.0,Pedido 7449 · SONIA PORTILLO,Pedido 7449 · SONIA PORTILLO,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHA 30 SUPER GRANEL,PLANCHA 30 SUPER GRANEL,4.0,Pedido 7450 · FABIAN BAO,Pedido 7450 · FABIAN BAO,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,80.0,Pedido 7451 · SUPERMERCADO VILLA SOFIA S.A.,Pedido 7451 · SUPERMERCADO VILLA SOFIA S.A.,ERP Pedidos
